participant_id,question_id,invalid_gaze_count,total_gaze_count,invalid_gaze_ratio
participant_1,Q1,1037,25874,0.04007884362680683
participant_1,Q10,271,12610,0.02149088025376685
participant_1,Q11,1,5519,0.0001811922449719152
participant_1,Q12,349,12540,0.027830940988835727
participant_1,Q13,38,6167,0.006161829090319442
participant_1,Q14,517,12222,0.04230076910489282
participant_1,Q15,229,6620,0.03459214501510574
participant_1,Q2,330,7269,0.04539826661163846
participant_1,Q3,726,10952,0.06628926223520819
participant_1,Q4,25,4751,0.005262050094716902
participant_1,Q5,1083,11803,0.09175633313564348
participant_1,Q6,734,12801,0.057339270369502385
participant_1,Q7,155,9151,0.016938039558518195
participant_1,Q8,270,5883,0.04589495155532891
participant_1,Q9,712,12532,0.05681455473986594
participant_2,Q1,150,7135,0.02102312543798178
participant_2,Q10,3939,10203,0.386062922669803
participant_2,Q11,8182,10001,0.8181181881811819
participant_2,Q12,2346,3422,0.6855639976621859
participant_2,Q13,696,13476,0.051647373107747106
participant_2,Q14,340,5398,0.06298629121897
participant_2,Q15,103,12932,0.007964738632848748
participant_2,Q2,244,6994,0.0348870460394624
participant_2,Q3,621,9594,0.0647279549718574
participant_2,Q4,38,5091,0.007464152425849539
participant_2,Q5,1600,8143,0.1964877809161243
participant_2,Q6,114,10556,0.010799545282303903
participant_2,Q7,138,13427,0.01027779846577791
participant_2,Q8,39,8289,0.004705030763662686
participant_2,Q9,97,13137,0.007383725355865114
participant_3,Q1,52,5464,0.00951683748169839
participant_3,Q10,197,3955,0.04981036662452592
participant_3,Q11,267,6038,0.04421994037760848
participant_3,Q12,158,5843,0.027040903645387644
participant_3,Q13,349,7611,0.04585468400998555
participant_3,Q14,109,8602,0.012671471750755638
participant_3,Q15,363,10712,0.03388722927557879
participant_3,Q2,189,5636,0.03353442157558552
participant_3,Q3,100,5197,0.01924187030979411
participant_3,Q4,305,8919,0.034196658818253164
participant_3,Q5,718,17644,0.04069372024484244
participant_3,Q6,251,10037,0.025007472352296504
participant_3,Q7,253,10963,0.023077624737754265
participant_3,Q8,168,8622,0.019485038274182326
participant_3,Q9,133,3562,0.0373385738349242
participant_4,Q1,211,4010,0.05261845386533666
participant_4,Q10,1781,12435,0.1432247687977483
participant_4,Q11,804,4612,0.17432784041630528
participant_4,Q12,220,2118,0.10387157695939565
participant_4,Q13,89,1790,0.049720670391061456
participant_4,Q14,1749,9226,0.18957294602211142
participant_4,Q15,3893,10646,0.36567724967123805
participant_4,Q2,343,4888,0.07017184942716857
participant_4,Q3,327,3871,0.08447429604753294
participant_4,Q4,301,3496,0.08609839816933638
participant_4,Q5,544,7402,0.07349365036476628
participant_4,Q6,239,3347,0.07140723035554228
participant_4,Q7,871,12904,0.06749845009299442
participant_4,Q8,670,5288,0.1267019667170953
participant_4,Q9,1390,7771,0.17887015828078753
participant_5,Q1,1017,10782,0.09432387312186978
participant_5,Q10,203,3277,0.061946902654867256
participant_5,Q11,117,2814,0.04157782515991471
participant_5,Q12,1085,10731,0.10110893672537508
participant_5,Q13,770,9257,0.0831802959922221
participant_5,Q14,445,6257,0.07112034521336104
participant_5,Q15,163,3538,0.046071226681741094
participant_5,Q2,1618,12018,0.1346313862539524
